rooms,area_sqm,age_years,distance_km,price
5,70.1,11.4,2.92,210274
5,52.8,2.0,0.3,200181
1,75.4,0.0,7.4,151201
2,87.3,13.5,10.72,181141
5,68.4,49.0,14.19,143158
1,72.7,25.2,9.07,129238
5,66.2,13.3,5.51,190388
2,65.0,25.6,3.43,126194
5,49.1,1.3,7.05,189760
2,72.0,16.4,5.8,175525
3,62.9,21.2,2.94,184924
4,111.0,19.0,15.2,259251
1,99.6,29.5,14.14,156158
3,73.5,24.1,11.54,164751
3,48.2,28.0,3.32,138483
4,40.5,11.7,10.42,134519
5,91.2,30.8,9.56,223303
4,70.8,39.5,8.77,180701
3,75.6,8.4,12.0,169621
3,26.6,9.3,9.54,81359
3,85.4,36.0,9.96,164612
5,75.0,17.7,9.55,214281
2,40.6,36.8,8.36,83660
1,54.6,14.7,0.3,116382
2,70.8,37.5,7.33,144800
1,66.2,21.6,4.78,112900
1,58.6,23.1,1.88,123400
1,62.7,38.8,13.73,100810
4,59.5,15.7,13.92,134201
4,68.4,8.7,12.44,202427
4,97.4,14.6,8.02,215190
3,25.0,25.4,12.4,49309
4,59.8,1.2,7.05,154373
1,68.9,27.6,7.81,98652
5,71.5,13.5,2.63,208349
3,56.8,33.8,8.59,124268
5,26.4,0.0,7.24,132135
1,72.2,10.6,1.79,150395
3,103.0,0.0,6.8,231446
4,31.3,10.1,6.68,128297
3,84.0,23.0,14.19,180391
3,57.8,17.8,10.58,149182
1,63.7,17.0,7.05,77972
2,41.8,18.1,8.0,90730
2,57.6,22.4,7.18,81624
2,93.6,7.9,6.19,188865
4,77.8,28.5,2.67,190399
4,103.1,28.0,6.4,245990
4,90.9,24.6,4.02,233633
2,74.7,26.7,2.0,154900
5,103.4,23.6,9.04,236296
1,74.7,44.4,8.57,124111
2,83.2,19.0,0.3,161940
1,58.5,16.3,6.51,108586
2,66.5,11.0,10.98,155437
5,49.7,7.6,11.24,156483
2,86.8,5.1,11.1,188082
5,39.1,9.3,7.16,165245
3,82.2,19.2,3.62,166880
4,60.8,24.0,2.67,183481
3,90.8,20.6,8.38,204218
2,81.5,10.8,8.52,166408
4,105.1,30.8,12.15,208519
5,81.1,28.9,11.4,188394
2,30.4,18.1,6.47,71018
4,63.5,12.2,2.02,187885
2,39.2,26.6,5.72,73299
4,53.6,22.3,7.87,157623
4,98.2,2.6,6.19,212459
3,79.0,19.2,4.69,174100
4,49.6,23.1,8.01,144672
2,42.7,9.2,4.98,151325
1,65.7,22.3,4.49,94059
1,38.2,2.5,8.25,109078
3,50.2,36.0,5.39,123521
5,71.9,35.0,7.98,196625
1,90.4,17.0,8.09,159713
3,78.4,24.4,2.44,184130
4,25.0,0.0,5.08,117651
2,71.7,6.1,12.75,173186
4,66.6,16.5,2.35,171847
2,74.1,7.1,0.3,184339
5,100.6,28.6,0.3,235818
3,25.0,44.0,7.12,72707
3,52.0,5.9,7.12,120533
1,78.0,10.0,6.53,151838
3,30.2,22.8,11.86,115602
5,97.5,39.3,0.3,234631
1,73.1,5.3,8.58,132781
4,83.6,23.0,13.25,171373
3,52.4,41.9,2.49,119924
4,82.9,0.2,5.48,183838
4,88.5,4.6,3.99,204015
3,70.1,14.9,3.42,171565
2,70.2,13.8,5.69,171477
4,70.9,29.8,12.71,218250
